Age,Cyto,HPV,Cotest,Total test,Primary,Colpo,CIN2 detected,CIN3 detected,CIN3+ detected,Screening CC,fp,Precancer treatment,Screening colpo,Surveillance colpo,colpo3year,colpo1year,Repeat test,Normal test,Cancer,Cancer death,CancerInitialYoung,CancerInitialOld,CancerOngoing,CancerDeathYoung,CancerDeathOld,Stage1year1,Stage1year2+,Stage2-3year1,Stage4year1,Stage2+year2,Stage2+year3+,Population
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99989
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99978
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99967
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99953
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99933
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99907
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99870
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99828
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99785
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99742
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99699
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99657
21,102565,6660,0,109225,99596,9059,2485,502,502,0,6072,2987,8747,312,0,0,2969,2657,0,0,0,0,0,0,0,0,0,0,0,0,0,99615
22,8934,0,0,8934,0,1120,217,21,21,0,882,238,0,1120,0,0,8934,7814,0,0,0,0,0,0,0,0,0,0,0,0,0,99573
23,8897,0,0,8897,0,1061,205,21,22,1,834,226,0,1061,5252,0,8897,7836,2,0,2,0,0,0,0,1,0,1,0,0,0,99531
24,98633,5580,0,104213,90669,8529,3113,757,758,1,4658,3870,7842,687,762,2135,7964,7277,1,0,1,0,2,0,0,1,1,0,0,1,0,99488
25,9453,0,0,9453,0,903,122,16,16,0,765,138,0,903,735,157,9453,8550,1,0,1,0,3,0,0,1,2,0,0,0,1,99445
26,13291,278,0,13569,4556,1126,214,39,40,1,872,253,337,789,4137,153,8735,7946,1,0,1,0,4,0,0,1,3,0,0,0,1,99396
27,92280,4743,0,97023,85117,6238,1719,559,563,4,3956,2278,5691,547,683,3026,7163,6616,5,0,5,0,5,0,0,4,4,1,0,0,1,99350
28,8182,47,0,8229,800,834,165,21,21,0,648,186,60,774,784,129,7382,6608,0,1,0,0,9,1,0,0,8,0,0,0,1,99301
29,14826,445,0,15271,8050,1170,285,58,58,0,827,343,542,628,3476,200,6776,6148,2,0,2,0,9,0,0,1,8,1,0,0,1,99244
30,87987,87987,87987,175974,82479,5526,1479,449,453,4,3594,1928,4488,1038,587,1748,5508,4470,4,0,4,0,11,0,0,4,9,0,0,1,1,99190
31,16422,16422,16422,32844,1563,5987,826,232,236,4,4925,1058,4149,1838,572,162,14859,13021,4,1,4,0,14,1,0,3,13,1,0,0,1,99133
32,24641,24641,24641,49282,10648,5022,466,88,89,1,4467,554,1457,3565,2271,246,13993,10428,1,0,1,0,18,0,0,1,16,0,0,1,1,99074
33,19179,19179,19179,38358,5191,4626,469,80,80,0,4077,549,1414,3212,2163,1162,13988,10776,0,0,0,0,19,0,0,0,17,0,0,0,2,99010
34,9477,9477,9477,18954,428,3226,241,17,18,1,2967,258,361,2865,2111,703,9049,6184,1,0,1,0,19,0,0,1,17,0,0,0,2,98944
35,71396,71396,71396,142792,63568,5363,1051,252,258,6,4054,1303,2997,2366,1908,389,7828,5462,6,1,6,0,20,1,0,5,18,1,0,0,2,98876
36,19768,19768,19768,39536,7085,4890,560,205,205,0,4125,765,2565,2325,1239,335,12683,10358,0,0,0,0,24,0,0,0,22,0,0,0,2,98805
37,25063,25063,25063,50126,13456,4124,377,121,122,1,3625,498,1227,2897,2241,197,11607,8710,1,0,1,0,23,0,0,1,21,0,0,0,2,98731
38,16562,16562,16562,33124,5232,3526,290,106,110,4,3126,396,1008,2518,1851,883,11330,8812,6,0,6,0,22,0,0,3,21,3,0,0,1,98654
39,14829,14829,14829,29658,7347,2611,213,38,38,0,2360,251,534,2077,1744,545,7482,5405,2,1,2,0,27,1,0,1,23,1,0,3,1,98571
40,60614,60614,60614,121228,54082,3898,474,228,229,1,3195,702,2155,1743,1521,347,6532,4789,1,0,1,0,27,0,0,1,23,0,0,1,3,98485
41,13099,13099,13099,26198,4123,3246,291,130,133,3,2822,421,1426,1820,1081,303,8976,7156,3,1,3,0,27,1,0,2,24,1,0,0,3,98393
42,27260,27260,27260,54520,19216,3094,279,111,114,3,2701,390,1072,2022,1756,170,8044,6022,5,0,5,0,26,0,0,5,22,0,0,1,3,98299
43,16553,16553,16553,33106,7956,2774,224,68,68,0,2482,292,1003,1771,1260,484,8597,6826,1,1,1,0,31,1,0,1,27,0,0,0,4,98176
44,11586,11586,11586,23172,5555,2088,179,58,59,1,1850,237,510,1578,1354,273,6031,4453,2,0,2,0,30,0,0,1,27,1,0,0,3,98070
45,56455,56455,56455,112910,50881,3332,378,181,187,6,2767,559,1935,1397,1254,216,5574,4177,8,2,8,0,27,2,0,7,24,1,0,0,3,97951
46,12168,12168,12168,24336,4370,2643,265,132,133,1,2245,397,1249,1394,846,236,7798,6404,1,0,1,0,30,0,0,1,28,0,0,0,2,97825
47,23266,23266,23266,46532,16354,2416,195,114,117,3,2104,309,814,1602,1646,148,6912,5310,3,1,3,0,31,1,0,3,29,0,0,0,2,97650
48,19863,19863,19863,39726,12931,2145,156,91,92,1,1897,247,818,1327,997,360,6932,5605,1,3,1,0,30,3,0,1,28,0,0,0,2,97495
